epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,2131.94,0.61402,0.51608,0.88754,0.96319,0.94847,0.98199,0.87105,0.5181,0.36532,0.83585,0.00092674,0.00092674,0.00092674
39,2434.19,0.61475,0.51782,0.88743,0.96293,0.94894,0.98198,0.87135,0.51739,0.36517,0.83585,0.00092476,0.00092476,0.00092476
40,2735.01,0.61354,0.51536,0.88692,0.9628,0.94941,0.98204,0.87092,0.51845,0.36479,0.83583,0.00092278,0.00092278,0.00092278
41,3037.37,0.61106,0.51274,0.8866,0.96291,0.94952,0.98211,0.87055,0.51971,0.36493,0.83598,0.0009208,0.0009208,0.0009208
42,3361.4,0.61157,0.51358,0.8861,0.96299,0.94985,0.98218,0.87036,0.5205,0.36442,0.83594,0.00091882,0.00091882,0.00091882
43,3697.22,0.61067,0.51238,0.88608,0.9637,0.9493,0.98223,0.87,0.52173,0.36434,0.83598,0.00091684,0.00091684,0.00091684
44,4025.21,0.60692,0.51023,0.88468,0.96358,0.94953,0.98225,0.87001,0.52206,0.36425,0.83593,0.00091486,0.00091486,0.00091486
45,4342.46,0.6046,0.50729,0.88561,0.96347,0.94983,0.9823,0.87018,0.52179,0.36397,0.83589,0.00091288,0.00091288,0.00091288
46,4663.21,0.60687,0.50867,0.88484,0.96346,0.94993,0.98237,0.86988,0.52302,0.36383,0.83593,0.0009109,0.0009109,0.0009109
47,4976.69,0.60692,0.50871,0.88461,0.96305,0.95061,0.98241,0.86974,0.52408,0.36368,0.83587,0.00090892,0.00090892,0.00090892
48,5296.9,0.60553,0.50726,0.88473,0.963,0.95069,0.98246,0.86872,0.52698,0.36392,0.83604,0.00090694,0.00090694,0.00090694
49,5607.54,0.60423,0.5067,0.88398,0.96248,0.95136,0.98253,0.86853,0.52757,0.36356,0.83594,0.00090496,0.00090496,0.00090496
50,5925.79,0.60279,0.50526,0.8835,0.96314,0.95082,0.98259,0.86836,0.52863,0.36324,0.83584,0.00090298,0.00090298,0.00090298
51,6236.1,0.60032,0.50322,0.88345,0.96297,0.95104,0.98261,0.86808,0.52933,0.36309,0.83574,0.000901,0.000901,0.000901
52,6544.07,0.59928,0.50208,0.88249,0.96352,0.9507,0.98265,0.86771,0.53054,0.36289,0.8357,0.00089902,0.00089902,0.00089902
53,6856.32,0.59811,0.50022,0.88234,0.96368,0.95064,0.98271,0.86749,0.5317,0.36251,0.83564,0.00089704,0.00089704,0.00089704
54,7160.49,0.59888,0.50059,0.88256,0.96344,0.95099,0.98277,0.86745,0.53261,0.36246,0.83563,0.00089506,0.00089506,0.00089506
