epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,371.011,1.9297,2.61131,1.76824,0.50366,0.30948,0.35245,0.16326,1.62998,1.69061,1.3368,0.0670186,0.000333145,0.000333145
2,695.39,1.71298,2.14151,1.60659,0.51742,0.60169,0.5551,0.27252,1.68928,1.44016,1.29518,0.0340173,0.000665159,0.000665159
3,1015.37,1.63003,2.00333,1.55427,0.55236,0.64425,0.6351,0.37701,1.39561,1.15903,1.13668,0.00101465,0.000995853,0.000995853
4,1329.88,1.56382,1.88918,1.50464,0.62143,0.69617,0.69994,0.45265,1.25932,1.01299,1.08342,0.00099406,0.00099406,0.00099406
5,1643.8,1.50021,1.7993,1.45897,0.66469,0.6996,0.72912,0.482,1.15895,0.97667,1.05682,0.00099208,0.00099208,0.00099208
6,1957.35,1.47366,1.75473,1.43942,0.65217,0.69792,0.72142,0.45847,1.27142,0.9693,1.05901,0.0009901,0.0009901,0.0009901
7,2270.79,1.4407,1.70634,1.41572,0.67181,0.71122,0.74625,0.53089,1.01827,0.9167,1.0071,0.00098812,0.00098812,0.00098812
8,2583.35,1.40532,1.65993,1.39093,0.71335,0.73029,0.77428,0.53718,1.12124,0.87159,1.02116,0.00098614,0.00098614,0.00098614
9,2894.66,1.38645,1.62633,1.37913,0.70746,0.75394,0.79817,0.55093,1.1113,0.83289,1.00577,0.00098416,0.00098416,0.00098416
10,3206.5,1.37267,1.60288,1.36981,0.73011,0.75906,0.80332,0.57693,1.01642,0.8083,0.98608,0.00098218,0.00098218,0.00098218
11,3519.14,1.35198,1.57463,1.35203,0.76297,0.77276,0.83179,0.61725,0.94539,0.77762,0.96853,0.0009802,0.0009802,0.0009802
12,3831.5,1.34345,1.55858,1.34809,0.76524,0.77628,0.83494,0.58946,1.0466,0.76693,0.98144,0.00097822,0.00097822,0.00097822
13,4143.47,1.32315,1.53172,1.33278,0.79071,0.78469,0.8498,0.58782,1.08327,0.74992,0.97911,0.00097624,0.00097624,0.00097624
14,4454.58,1.30519,1.50973,1.32569,0.79913,0.79877,0.86246,0.63731,0.9499,0.72087,0.96357,0.00097426,0.00097426,0.00097426
15,4765.19,1.30527,1.50761,1.32297,0.80081,0.80507,0.86578,0.65203,0.91094,0.702,0.94281,0.00097228,0.00097228,0.00097228
16,5075.3,1.29638,1.49415,1.31758,0.81595,0.81177,0.87356,0.63409,0.97327,0.70868,0.95594,0.0009703,0.0009703,0.0009703
17,5385.58,1.27917,1.4675,1.30291,0.82724,0.81747,0.88213,0.62663,1.03525,0.69656,0.95942,0.00096832,0.00096832,0.00096832
18,5695.89,1.26827,1.45405,1.29429,0.83193,0.8224,0.88918,0.65,0.96956,0.68639,0.94523,0.00096634,0.00096634,0.00096634
19,6006.65,1.27063,1.45692,1.29722,0.83559,0.82348,0.89147,0.68684,0.85521,0.65825,0.92521,0.00096436,0.00096436,0.00096436
20,6314.97,1.2553,1.43379,1.28902,0.84392,0.82499,0.89652,0.65309,0.98944,0.6698,0.94487,0.00096238,0.00096238,0.00096238
21,6621.28,1.24665,1.42161,1.28183,0.85222,0.82712,0.90017,0.6445,1.02015,0.67184,0.94943,0.0009604,0.0009604,0.0009604
22,6922.67,1.24303,1.41793,1.27937,0.8552,0.83322,0.90457,0.67428,0.93906,0.65296,0.93508,0.00095842,0.00095842,0.00095842
23,7224.42,1.23206,1.40198,1.27275,0.85873,0.83373,0.90657,0.69031,0.886,0.64336,0.92477,0.00095644,0.00095644,0.00095644
24,7525.83,1.22185,1.39556,1.26746,0.86579,0.83702,0.91086,0.68892,0.89971,0.63647,0.92559,0.00095446,0.00095446,0.00095446
25,7827.28,1.2296,1.39819,1.26912,0.8698,0.83908,0.9131,0.67794,0.95101,0.64156,0.93278,0.00095248,0.00095248,0.00095248
26,8129.21,1.21785,1.3814,1.26274,0.87332,0.84059,0.9153,0.68383,0.93614,0.63396,0.92976,0.0009505,0.0009505,0.0009505
27,8430.5,1.21128,1.3726,1.2583,0.87525,0.84283,0.91693,0.69099,0.91792,0.62461,0.92629,0.00094852,0.00094852,0.00094852
28,8731.29,1.20538,1.36486,1.25354,0.87881,0.84465,0.91863,0.69527,0.90483,0.62098,0.92385,0.00094654,0.00094654,0.00094654
29,9034.56,1.20342,1.36104,1.2533,0.88243,0.84556,0.92046,0.68636,0.93787,0.62177,0.92718,0.00094456,0.00094456,0.00094456
30,9337.51,1.19825,1.35624,1.25248,0.88455,0.84897,0.9229,0.68427,0.95134,0.6217,0.92771,0.00094258,0.00094258,0.00094258
31,9640.84,1.19509,1.34956,1.24888,0.88542,0.8521,0.92454,0.6869,0.9446,0.61738,0.92599,0.0009406,0.0009406,0.0009406
32,9943.45,1.18998,1.34004,1.24166,0.88472,0.85469,0.92606,0.68799,0.94582,0.61488,0.92544,0.00093862,0.00093862,0.00093862
33,10246.2,1.18204,1.33349,1.24288,0.88493,0.85691,0.92712,0.6907,0.93989,0.61175,0.92385,0.00093664,0.00093664,0.00093664
34,10549.5,1.17444,1.32512,1.23559,0.88879,0.85672,0.92842,0.68764,0.95373,0.61158,0.9255,0.00093466,0.00093466,0.00093466
35,10851.8,1.17625,1.32476,1.23567,0.89102,0.85744,0.92935,0.68241,0.97267,0.6125,0.92751,0.00093268,0.00093268,0.00093268
36,11153.7,1.17197,1.31879,1.23722,0.89202,0.8582,0.93021,0.68286,0.97257,0.61083,0.92666,0.0009307,0.0009307,0.0009307
37,11456.8,1.16662,1.30833,1.22744,0.89374,0.85839,0.93082,0.68329,0.97098,0.60906,0.92605,0.00092872,0.00092872,0.00092872
38,11758.4,1.17268,1.32294,1.23583,0.89618,0.85841,0.93166,0.68209,0.97721,0.6082,0.92651,0.00092674,0.00092674,0.00092674
39,12059.9,1.16293,1.30511,1.22809,0.8974,0.85887,0.93231,0.6798,0.98615,0.60814,0.92756,0.00092476,0.00092476,0.00092476
40,12361.6,1.15692,1.29586,1.22116,0.8974,0.8603,0.93299,0.67925,0.99014,0.60762,0.92758,0.00092278,0.00092278,0.00092278
41,12662.8,1.15316,1.28945,1.22173,0.89782,0.86126,0.93367,0.67768,0.99661,0.60712,0.92818,0.0009208,0.0009208,0.0009208
42,12964.3,1.15706,1.29991,1.2234,0.899,0.86199,0.93426,0.67699,1.00155,0.60671,0.92875,0.00091882,0.00091882,0.00091882
43,13265.2,1.14809,1.28966,1.21889,0.89957,0.8628,0.93474,0.67756,1.00087,0.60521,0.92838,0.00091684,0.00091684,0.00091684
44,13566.1,1.14136,1.27762,1.21633,0.89957,0.86404,0.93536,0.67702,1.00498,0.60435,0.92857,0.00091486,0.00091486,0.00091486
45,13868,1.13714,1.27271,1.21063,0.89956,0.86468,0.93582,0.67607,1.00876,0.60396,0.92883,0.00091288,0.00091288,0.00091288
46,14169.5,1.13151,1.26532,1.21008,0.89975,0.86594,0.93633,0.67398,1.01814,0.60394,0.92986,0.0009109,0.0009109,0.0009109
47,14466.9,1.13776,1.27163,1.21049,0.90023,0.86687,0.93691,0.67245,1.02622,0.60372,0.93088,0.00090892,0.00090892,0.00090892
48,14760.3,1.13439,1.26508,1.20719,0.90044,0.86842,0.93738,0.67065,1.03457,0.60379,0.93187,0.00090694,0.00090694,0.00090694
